des,orbit_id,jd,cd,dist,dist_min,dist_max,v_rel,v_inf,t_sigma_f,h,estimated_diameter_min_km,estimated_diameter_max_km,miss_distance_km,is_potentially_hazardous
2016 KH,11,2453513.943436148,2005-May-23 10:39,0.0312482435227583,0.031073024747468,0.148676326478152,13.1740180427402,13.1675440051449,5_12:25,24.3,0.0366906138,0.0820427065,4674670.668841345,False
423321,72,2453514.210039579,2005-May-23 17:02,0.0162675265299052,0.0162674865187948,0.0162675665410157,6.34592892345201,6.32006576698736,< 00:01,20.9,,,,
2016 KO,9,2453514.863360439,2005-May-24 08:43,0.0259196294382261,0.0040573360785518,0.0538634297212811,7.83249196459776,7.81935642458501,1_16:16,26.5,0.0133215567,0.0297879063,28104474.21578045,False
2005 HB4,19,2453514.991590042,2005-May-24 11:48,0.0379456638901588,0.0379390678812143,0.0379522598663692,3.1334709595054,3.11098114579875,< 00:01,24.4,0.0350392641,0.0783501764,34677719.30791519,False
2005 LC,9,2453517.967037339,2005-May-27 11:13,0.0215433729749595,0.0214477669186794,0.0216389544656826,2.48042374932223,2.43004988494038,00:03,26.8,0.0116025908,0.0259441818,11728838.610234492,False
2023 JK3,8,2453523.941374253,2005-Jun-02 10:36,0.0470236318420894,0.0347870895293923,0.059313841433653,6.36487014061741,6.35596151560739,1_01:31,25.35,0.0226232491,0.0505871228,43417389.11220521,False
2005 LM3,8,2453524.839490574,2005-Jun-03 08:09,0.0103782695276515,0.010344004679175,0.0104125328292689,8.70151404566577,8.67195905946589,< 00:01,26.5,0.0133215567,0.0297879063,1552567.011485965,False
2005 LX36,18,2453525.893818718,2005-Jun-04 09:27,0.0279549915431748,0.0279542920872483,0.0279556910012148,23.0308402514308,23.026701377158,< 00:01,20.9,0.1756123185,0.3926810818,64940205.195717216,True
2005 LU3,9,2453526.125845287,2005-Jun-04 15:01,0.0125430013368995,0.0125009374363118,0.0125850639037616,9.50194807338291,9.47956549860333,< 00:01,26.2,0.0152951935,0.0342010925,13202282.784684911,False
2013 XA22,36,2453527.864423033,2005-Jun-06 08:45,0.0143266198320324,0.0143232285041715,0.0143300112152365,7.64074139694425,7.61636179940002,< 00:01,22.89,0.0702352248,0.157050737,866584.736938644,False
2018 UC,6,2453532.487360306,2005-Jun-10 23:42,0.0218448612164727,0.0023598038125944,0.0621765940881562,9.08173088871407,9.06829037326383,20:00,25.9,0.0175612318,0.0392681082,1882529.737580367,False
2014 MA18,6,2453538.938973826,2005-Jun-17 10:32,0.0328275281936554,0.0148363916464041,0.0509737529524316,9.02501427569086,9.01601634122121,02:45,25.5,0.0211132445,0.0472106499,1973756.269001446,False
2005 LD,18,2453541.417224382,2005-Jun-19 22:01,0.0183451447311734,0.0183437481699843,0.0183465412927629,8.58710701474322,8.57017640166342,< 00:01,23.0,0.0667659413,0.1492931834,40654560.4175116,False
2005 MA,12,2453542.981784405,2005-Jun-21 11:34,0.0048639727041051,0.0048512636216141,0.0048766813972861,13.5191090584977,13.4785278036642,< 00:01,26.9,0.0110803882,0.0247765013,54073645.56660745,False
2020 LV,11,2453544.27852328,2005-Jun-22 18:41,0.0119286581346079,0.0112763889087284,0.0125836126207632,4.77858015764973,4.73160570204243,00:45,25.3,0.0231502122,0.0517654482,67343218.08656964,False
2003 YN107,18,2453544.666878265,2005-Jun-23 04:00,0.0299790374419963,0.0299777931837683,0.029980281826279,2.28675023147214,2.24754765417785,< 00:01,26.5,0.0133215567,0.0297879063,62332061.37179402,False
2014 LZ20,9,2453549.05336806,2005-Jun-27 13:17,0.0342989795768524,0.0342901172603106,0.0343078455397981,9.60593189835609,9.59784141288849,< 00:01,24.46,0.0340843469,0.0762149166,9759967.699034488,False
2005 NG,15,2453550.889801658,2005-Jun-29 09:21,0.0242736781752831,0.0241467044219931,0.0244006501641139,12.8519799779197,12.8434361772602,< 00:01,24.2,0.0384197891,0.0859092601,3631290.555785434,False
2005 NB56,12,2453553.63929624,2005-Jul-02 03:21,0.0448129263488656,0.0448108893756379,0.0448149633235681,10.6744657609338,10.6688942080318,< 00:01,23.33,0.0573528464,0.1282448632,67255780.52512056,False
2005 ME5,10,2453557.430280467,2005-Jul-05 22:20,0.039286147457506,0.0389983995984914,0.039573882971522,6.74038206785829,6.73031245155085,00:02,25.5,0.0211132445,0.0472106499,5877123.986505825,False
2011 OB,22,2453561.524722534,2005-Jul-10 00:36,0.0268726558500561,0.0268713983651467,0.0268739133395634,20.5017856694685,20.4969488340446,< 00:01,19.41,0.3487827332,0.7799019007,2267528.472862679,True
2005 ND63,11,2453561.561496325,2005-Jul-10 01:29,0.0051143250425523,0.0050888990881331,0.0051397470081914,8.06463561356323,7.99977377380138,< 00:01,26.2,0.0152951935,0.0342010925,49948920.19963106,False
2019 KD3,22,2453562.484659362,2005-Jul-10 23:38,0.0415363622494872,0.0412079730060714,0.0428889123199166,7.83973685612963,7.83155014946317,2_06:13,23.21,0.0606114923,0.1355314169,6920863.119489949,False
2005 NG56,15,2453565.106826522,2005-Jul-13 14:34,0.0218735180404435,0.0217960469800496,0.0219509884052441,13.8798161973591,13.8710371504124,< 00:01,22.4,0.0880146521,0.1968067451,3272231.70220666,False
2022 AF5,2,2453571.01996229,2005-Jul-19 12:29,0.0411723446180317,0.0254434105879183,0.135709730714676,9.80193374537463,9.79532922426023,5_18:52,26.66,0.0123752784,0.0276719637,52915288.06117928,False
2009 PC,10,2453572.259397917,2005-Jul-20 18:14,0.0399119902979524,0.0382719881759962,0.0576142401026379,11.0933956626639,11.0873761364037,15:56,23.2,0.0608912622,0.1361570015,70464169.49625091,False
2000 AG6,12,2453574.397510626,2005-Jul-22 21:32,0.0226656710825357,0.0209206140244084,0.0244635410149991,6.46343713282799,6.44522366758442,02:45,25.3,0.0231502122,0.0517654482,63632418.74620384,False
54509,88,2453578.194232606,2005-Jul-26 16:40,0.0358869400665552,0.0358868732769833,0.0358870068561658,8.00307210606405,7.99378947400955,< 00:01,22.66,,,,
2005 PA5,18,2453583.320892621,2005-Jul-31 19:42,0.046011977481514,0.0460114468862664,0.04601250807684,8.80707847060662,8.80050080484361,< 00:01,21.8,0.1160259082,0.2594418179,74755389.10953382,True
2005 OH3,11,2453583.505937018,2005-Aug-01 00:09,0.014026759405573,0.0140137198840882,0.0140397981791337,3.53851249917501,3.48441630165303,< 00:01,26.0,0.0167708462,0.0375007522,67936278.57167324,False
2022 PC,37,2453585.580725594,2005-Aug-03 01:56,0.0143880539203511,0.0124170232990254,0.0163902107784822,4.59750990825903,4.55705206507382,14:01,23.74,0.0474848397,0.1061793296,911123.149433127,False
2023 RO16,2,2453590.337712708,2005-Aug-07 20:06,0.0497958438251636,0.0497899935865324,0.0498017238006428,1.82789772335125,1.79838648610864,00:42,27.86,0.0071212294,0.015923553,72701786.57811709,False
100085,115,2453590.905925842,2005-Aug-08 09:45,0.0402798163825228,0.0402798138979139,0.0402798188671318,10.4904922017379,10.4841846678653,< 00:01,17.89,,,,
2020 PK1,4,2453596.611801026,2005-Aug-14 02:41,0.0317511071749432,0.0097607418758301,0.0773085165189378,12.3531215447956,12.3463264388659,1_11:07,26.8,0.0116025908,0.0259441818,21528940.09671727,False
2010 KD149,2,2453597.20018111,2005-Aug-14 16:48,0.0246146937043517,0.0246128325805975,0.0246165551431852,8.45275391538642,8.43993801702473,< 00:01,21.48,0.1344481952,0.3006353038,40821622.956206664,True
2005 OE3,53,2453598.761286743,2005-Aug-16 06:16,0.0280893351448023,0.0280892911967439,0.0280893790928686,16.4785990146905,16.4728416135959,< 00:01,20.38,0.2231284644,0.4989304142,62079140.920438565,True
2005 QB5,11,2453601.806638724,2005-Aug-19 07:22,0.0269035480938614,0.0268983305486325,0.0269087656431734,9.92690199362493,9.91692022576446,00:01,23.7,0.0483676488,0.1081533507,7835326.983837407,False
367943,81,2453604.176015198,2005-Aug-21 16:13,0.0389259330537887,0.038925532251773,0.0389263338560919,5.60997117281359,5.59775638982667,< 00:01,24.19,,,,
2010 RJ43,15,2453604.763330746,2005-Aug-22 06:19,0.0207250934986437,0.0207242816108477,0.0207259053925317,14.8448022081621,14.8361392107983,< 00:01,23.7,0.0483676488,0.1081533507,31590340.75693782,False
2005 PA17,12,2453606.008965038,2005-Aug-23 12:13,0.0266193546481608,0.0266185903074312,0.0266201189894003,9.18721483488477,9.17631327346264,< 00:01,24.09,0.0404161533,0.0903732663,50830872.30296652,False
2005 QK76,9,2453609.550453842,2005-Aug-27 01:13,0.0323580644082452,0.0319300107259726,0.0327861129781116,19.1564799499993,19.1521809955288,00:01,25.1,0.0253837029,0.0567596853,4840697.511562828,False
2007 SV1,12,2453612.140396643,2005-Aug-29 15:22,0.0312074506491416,0.0137127743559834,0.0521072374531334,8.64572296770579,8.63584196558295,1_18:36,24.7,0.0305179233,0.0682401509,22022021.21366419,False
2005 RW3,12,2453612.300542418,2005-Aug-29 19:13,0.0483212053765911,0.0480865912589102,0.0485558186175228,16.3817515891483,16.3783852421052,00:01,22.8,0.0732073989,0.1636967205,7228749.403672498,False
2005 QP87,17,2453614.409605768,2005-Aug-31 21:50,0.0075425549122926,0.0075409076051607,0.0075442021520892,2.73469280661992,2.60231160775683,< 00:01,27.7,0.0076657557,0.0171411509,34943303.63784018,False
2022 RB2,3,2453616.042512476,2005-Sep-02 13:01,0.0139112434774374,0.0017654276741992,0.143358848592258,12.5748548709216,12.5596141087367,9_04:55,27.5,0.008405334,0.0187948982,2081092.396651345,False
2008 EY84,7,2453618.406669606,2005-Sep-04 21:46,0.0247184860201471,0.0217740339755957,0.0279546523324721,5.7877892646324,5.7691349963593,05:54,26.8,0.0116025908,0.0259441818,21972621.66326341,False
2005 QP11,14,2453618.606815038,2005-Sep-05 02:34,0.0108283004143853,0.010802081164323,0.0108545171227058,5.00341749165799,4.95399375095596,< 00:01,26.4,0.0139493823,0.0311917671,54229523.82446622,False
2005 RJ,8,2453622.407435316,2005-Sep-08 21:47,0.0477465636005213,0.0471368574356689,0.0483562605430835,13.6908968361791,13.6868201901666,00:01,22.3,0.0921626549,0.2060819612,7142784.214379532,False
2005 RK3,33,2453625.263805951,2005-Sep-11 18:20,0.0149107998389614,0.0149107519327231,0.014910847745243,3.25944589748256,3.20415329980426,< 00:01,23.73,0.0477040198,0.1066694311,52351082.53683381,False
2020 KR2,4,2453626.096944067,2005-Sep-12 14:20,0.0399368617876229,0.0291347641322672,0.0558997767718177,3.67795793830444,3.65977321817863,08:59,26.6,0.0127219879,0.0284472297,51020897.72575213,False
2022 SK2,3,2453626.439243782,2005-Sep-12 22:33,0.0159784382259396,0.0019997561356709,0.0351742391620017,23.4195379871102,23.4124165811988,18:08,26.5,0.0133215567,0.0297879063,41729555.975941405,False
2020 RF3,4,2453628.7631008,2005-Sep-15 06:19,0.0320979197889796,0.0009253387012898,0.0656285006746833,15.9731619333617,15.9679641851046,17:17,28.5,0.0053034072,0.0118587791,73393412.08823505,False
2005 SP1,20,2453629.276443468,2005-Sep-15 18:38,0.0145376531642121,0.0144944246124651,0.0145808813684441,16.8964309172993,16.8855800975305,00:02,23.23,0.0600558028,0.1342888574,223238454.929586,False
2005 SS1,10,2453631.0886637,2005-Sep-17 14:08,0.0169420163125179,0.0168368825582946,0.0170471455808495,9.69697046834461,9.68073836380653,00:01,26.1,0.0160160338,0.0358129403,2534489.551985281,False
2005 SQ1,11,2453631.2031707,2005-Sep-17 16:53,0.0316969796905979,0.0316683552321255,0.0317256039755316,7.18123869505814,7.16952350056546,< 00:01,25.3,0.0231502122,0.0517654482,61428484.17828029,False
2005 RX3,12,2453632.366381488,2005-Sep-18 20:48,0.0255990290550899,0.0255978939131293,0.0256001641980457,17.1118000770557,17.1057163408448,< 00:01,22.54,0.0825191939,0.1845185269,40305178.99030398,False
2005 SO1,10,2453632.833622551,2005-Sep-19 08:00,0.0123887122521,0.0123407093050986,0.0124367140898973,12.1184063175273,12.100645659699,< 00:01,25.4,0.022108281,0.0494356193,1853324.972122801,False
101955,118,2453633.945278114,2005-Sep-20 10:41,0.0331303991420096,0.0331303986088375,0.0331303996751818,6.84390625294566,6.83214496272549,< 00:01,20.21,,,,
2022 SL48,1,2453636.835180312,2005-Sep-23 08:03,0.0095884225151075,0.0005682929300822,0.0990352868049444,9.28839140202209,9.25842560714053,2_09:11,26.73,0.011982708,0.0267941497,55670339.19253115,False
2005 SZ70,14,2453639.852710176,2005-Sep-26 08:28,0.0183155583505139,0.0182722269338663,0.0183588891520237,9.84118673771119,9.82639322649919,< 00:01,24.4,0.0350392641,0.0783501764,50435077.47836077,False
2018 TR,20,2453643.332340804,2005-Sep-29 19:59,0.0432529545090242,0.0402552851570895,0.0462508660419427,7.75645054241489,7.748504405106,03:35,25.5,0.0211132445,0.0472106499,41554560.36691874,False
2005 TP15,7,2453644.196959998,2005-Sep-30 16:44,0.0164768380778,0.0157732541526849,0.0171802376456603,10.182813890796,10.1669207500924,< 00:01,25.2,0.0242412481,0.0542050786,60528487.35546863,False
2005 TH45,9,2453645.36263919,2005-Oct-01 20:42,0.0082639215088562,0.0081830185299082,0.0083448201353567,15.4144640300647,15.3935328985443,00:01,26.3,0.0146067964,0.0326617897,13293484.722216165,False
2005 SK26,9,2453646.230795462,2005-Oct-02 17:32,0.0112039564778426,0.0111777702091128,0.0112301418209694,7.92802817618424,7.89797435427748,< 00:01,25.5,0.0211132445,0.0472106499,1676088.027972655,False
2005 TA,10,2453647.230060478,2005-Oct-03 17:31,0.0050952994651607,0.0050916323075827,0.005098966396124,5.03965503759757,4.93480142462505,< 00:01,27.2,0.0096506147,0.0215794305,21975809.414355673,False
2018 SN2,9,2453647.621926629,2005-Oct-04 02:56,0.0395115595201486,0.0328270229522129,0.0871803925586395,7.37369031937416,7.36453922857578,4_19:17,24.4,0.0350392641,0.0783501764,64441553.06905129,False
2005 US6,8,2453649.099106697,2005-Oct-05 14:23,0.0312536152375714,0.0300002015982144,0.0325068123712021,8.65936588266588,8.64951504639298,02:44,24.8,0.0291443905,0.0651688382,4675474.263719624,False
2005 SG26,10,2453649.150944558,2005-Oct-05 15:37,0.0348966397639241,0.0345736219143252,0.0352196460883035,8.90524996599217,8.89667185121604,< 00:01,25.9,0.0175612318,0.0392681082,5220462.984237226,False
2005 TQ45,11,2453651.434116643,2005-Oct-07 22:25,0.0193785449539017,0.0193295381286902,0.0194275513758704,13.0162375650094,13.0056698264431,< 00:01,25.6,0.0201629919,0.0450858206,54842087.71299705,False
2005 TH50,10,2453651.503692431,2005-Oct-08 00:05,0.012677762412958,0.0124883429510943,0.0128670647133556,4.52645918161662,4.47978723462631,< 00:01,28.0,0.0066765941,0.0149293183,64605545.94921268,False
2005 TD49,13,2453651.957941242,2005-Oct-08 10:59,0.0254662018364762,0.0254645648725839,0.0254678387996983,8.08083544943693,8.0678773811573,< 00:01,26.4,0.0139493823,0.0311917671,210277440.67247856,False
2008 GM2,13,2453652.552269843,2005-Oct-09 01:15,0.0387331079845274,0.0359657510698942,0.0415045632517509,3.5519538870419,3.5325337827845,05:06,28.3,0.0058150704,0.0130028927,1903379.357279924,False
475016,29,2453653.085948549,2005-Oct-09 14:04,0.0398064516162633,0.0398060866334434,0.0398068165990853,17.8734141215143,17.869668732962,< 00:01,22.06,,,,
2005 TK50,10,2453653.669293362,2005-Oct-10 04:04,0.0008909425250091,0.0006028476666993,0.0011773807680892,17.953335002669,17.7859770030991,00:45,29.1,0.0040230458,0.0089958039,346581.448754193,False
2016 CH30,6,2453654.552771552,2005-Oct-11 01:16,0.0268994327083548,0.0254646143488692,0.0283351394071435,6.27725355359149,6.26145394019648,00:10,28.0,0.0066765941,0.0149293183,17159548.93925415,False
2005 TU50,49,2453654.847612904,2005-Oct-11 08:21,0.0378679124997835,0.0378678349068093,0.0378679900927577,18.901699106396,18.8979761931311,< 00:01,21.47,0.1350687798,0.3020229733,9575654.775633344,True
2005 UQ,16,2453656.659105742,2005-Oct-13 03:49,0.0394876753159697,0.0394872039559694,0.0394881466809149,9.23437771834113,9.22706775694525,< 00:01,24.0,0.0421264611,0.0941976306,18037081.128641095,False
2005 TE49,9,2453657.860064239,2005-Oct-14 08:38,0.0198741144178368,0.0198690030219725,0.0198792258080739,10.1421426289835,10.1289151172367,< 00:01,26.7,0.0121494041,0.0271668934,52122890.8976253,False
2023 FR,2,2453658.103455206,2005-Oct-14 14:29,0.0433090360886226,0.0283754356527759,0.0605989108631557,8.06796811086238,8.06033898024368,1_13:45,28.13,0.0062886146,0.0140617696,19939206.287298515,False
2010 SX11,13,2453658.315498806,2005-Oct-14 19:34,0.0453148798437601,0.0238954046550557,0.0754781897359063,5.84231312034517,5.83224006426683,4_07:53,24.8,0.0291443905,0.0651688382,3619044.533986382,False
2005 TC51,7,2453658.35431141,2005-Oct-14 20:30,0.0037732182144155,0.0037330068247676,0.0038134165430567,9.25220863914748,9.17556828835862,00:05,27.3,0.0092162655,0.0206081961,43589091.42883832,False
2005 TV51,10,2453658.453283404,2005-Oct-14 22:53,0.010656217325286,0.010639168649897,0.0106732657034506,9.6225300958141,9.59651007804042,< 00:01,26.4,0.0139493823,0.0311917671,1356462.050941856,False
2005 UC3,8,2453658.466695403,2005-Oct-14 23:12,0.0335965297199022,0.0328145431392496,0.0343784435198552,8.99407337972354,8.98525122726198,00:03,27.1,0.0101054342,0.0225964377,5025969.282511739,False
2005 TM173,8,2453660.316795442,2005-Oct-16 19:36,0.0161348713667992,0.0094411277364564,0.0228186962436632,10.8766108793448,10.8614174190476,15:18,24.06,0.040978398,0.0916304836,2413742.394163918,False
2017 BG92,7,2453660.32425979,2005-Oct-16 19:47,0.0073918219687087,0.0015892105754277,0.0323075603278849,5.6327215699864,5.56835936431387,5_01:29,28.77,0.0046833323,0.0104722495,39299396.59184539,False
2005 UL6,17,2453660.520238194,2005-Oct-17 00:29,0.0315864034965391,0.0314373105171521,0.0317354941382696,10.2774137866207,10.2692026768247,00:02,24.5,0.0334622374,0.0748238376,4725258.684560545,False
2022 UL11,3,2453663.699862596,2005-Oct-20 04:48,0.0089774296732164,0.0040590253230115,0.019557118184196,9.13150559781756,9.09894495736304,3_16:10,29.15,0.0039314701,0.0087910344,14141904.941704309,False
2005 UA1,11,2453664.460900604,2005-Oct-20 23:04,0.0072595653988086,0.0072275309411344,0.0072915989215971,14.9021444365271,14.8774946989706,< 00:01,26.2,0.0152951935,0.0342010925,1086015.520965698,False
2005 UN,10,2453664.813418542,2005-Oct-21 07:31,0.0207027567270138,0.0206433407121312,0.0207621705208524,5.49696562731635,5.47350233127139,< 00:01,25.9,0.0175612318,0.0392681082,34386231.01473525,False
144900,90,2453664.898500895,2005-Oct-21 09:34,0.0430770497032333,0.0430770478685909,0.0430770515378783,27.1765359519054,27.1742598563342,< 00:01,18.29,,,,
2005 UA6,15,2453665.239977208,2005-Oct-21 17:46,0.0221248027461744,0.022055283778997,0.0221943210355555,12.5831711060799,12.5735967824724,00:01,23.3,0.058150704,0.130028927,273519290.0476758,False
2005 UQ64,9,2453665.588765403,2005-Oct-22 02:08,0.0374944721521673,0.0373512858121471,0.0376376545466,6.21288902292995,6.20144043717079,< 00:01,24.4,0.0350392641,0.0783501764,47165175.359065115,False
2015 GY,41,2453665.682681094,2005-Oct-22 04:23,0.0496581639519329,0.0496140900487264,0.0497022528922949,7.98252851174202,7.97580394689443,00:07,21.7,0.1214940408,0.2716689341,8560437.329272578,True
2005 VD7,11,2453666.154604557,2005-Oct-22 15:43,0.0233925103574636,0.0233479280838639,0.0234370927481003,7.8633971862387,7.84889859265697,00:27,22.4,0.0880146521,0.1968067451,3499469.729792848,False
2005 VP,7,2453667.027554319,2005-Oct-23 12:40,0.0376979345353301,0.0275907526557008,0.0478051667974386,11.1061900136216,11.0998241961305,1_01:24,25.6,0.0201629919,0.0450858206,5639530.704599515,False
2005 TR50,20,2453667.633628595,2005-Oct-24 03:12,0.0288366739830059,0.0288364249309113,0.0288369230351104,20.7273745468072,20.7229162435791,< 00:01,20.21,0.2412986969,0.5395602892,63898002.16358183,True
2005 UF,7,2453667.642537715,2005-Oct-24 03:25,0.0099993295671268,0.0099772901456767,0.0100212666381964,13.1771117841027,13.1568743770558,< 00:01,26.1,0.0160160338,0.0358129403,19397799.732657425,False
2005 UW3,11,2453669.325041881,2005-Oct-25 19:48,0.0388073258153915,0.0386400445090758,0.0389746050251743,9.73229696496055,9.72523962920387,< 00:01,24.27,0.037201031,0.0831840342,51614556.69209447,False
2005 UE1,9,2453669.723094652,2005-Oct-26 05:21,0.0051028316535145,0.0050919672728547,0.0051136938221692,4.71504440271835,4.60296966012233,< 00:01,26.2,0.0152951935,0.0342010925,16386554.424961943,False
2005 UG3,10,2453669.839809827,2005-Oct-26 08:09,0.0277252042362262,0.0274595889539104,0.0279908067203452,8.76301219175596,8.75203841295063,< 00:01,25.5,0.0211132445,0.0472106499,4147631.493635054,False
2005 UH5,9,2453671.729991963,2005-Oct-28 05:31,0.0401843692894613,0.040039455725369,0.0403292818500218,11.7603408464919,11.7547013616511,00:01,25.4,0.022108281,0.0494356193,6154479.604349211,False
2005 US64,9,2453672.7456265,2005-Oct-29 05:54,0.0270711737047101,0.0268952082469391,0.0272471380033434,19.7250394151968,19.7200489350319,< 00:01,23.0,0.0667659413,0.1492931834,33336140.300266024,False
2005 UW5,10,2453673.511724543,2005-Oct-30 00:17,0.0012512418990186,0.0012495887790163,0.001252894833196,9.78377846990158,9.56364917494765,< 00:01,27.5,0.008405334,0.0187948982,3244252.203143542,False
2005 UR,13,2453674.049487113,2005-Oct-30 13:11,0.041220990901046,0.0407574310768407,0.0416845493106238,30.8932179243886,30.8911255206417,< 00:01,21.6,0.1272198785,0.2844722965,14456813.813658051,True
2005 UV6,8,2453674.894031544,2005-Oct-31 09:27,0.0129002714056834,0.0127961156267184,0.0130044151854375,7.63963660886668,7.61255270161029,< 00:01,27.3,0.0092162655,0.0206081961,1929853.123861918,False
2005 VN1,8,2453674.996148698,2005-Oct-31 11:54,0.0132987004739947,0.0127712702647068,0.0138259994005499,9.84170117685888,9.82132217762843,00:59,25.1,0.0253837029,0.0567596853,54944364.8445978,False
2005 VS,18,2453675.063964511,2005-Oct-31 13:32,0.0471190205328081,0.0471179433704067,0.0471200976952175,6.93624831093129,6.92809100182016,< 00:01,22.24,0.0947447113,0.2118556149,2920056.863892102,False
2005 VL1,24,2453675.345383264,2005-Oct-31 20:17,0.0150959139834804,0.0150938949712452,0.0150979329937977,5.99019103244008,5.96065280920796,< 00:01,26.45,0.0136318556,0.0304817558,43940032.93743324,False
2012 VB37,13,2453675.969024886,2005-Nov-01 11:15,0.0132074365542856,0.0132072546322881,0.0132076184908351,4.43331746800695,4.38757587890319,< 00:01,25.5,0.0211132445,0.0472106499,8492826.242810763,False
2008 JQ,13,2453676.269150568,2005-Nov-01 18:28,0.0259895741144291,0.0207910618534522,0.0314843126683301,8.0082746057294,7.99546246258942,04:53,25.6,0.0201629919,0.0450858206,61352777.57316386,False
2000 UK11,33,2453677.541112227,2005-Nov-03 00:59,0.032720862646148,0.0327155863251709,0.0327261389777975,7.27731516006496,7.26611689607651,< 00:01,25.3,0.0231502122,0.0517654482,11986156.999611355,False
2005 UF7,8,2453677.659328916,2005-Nov-03 03:49,0.0366077296782833,0.0360571501846594,0.0371582609778662,7.07755434189634,7.06726299510086,00:01,26.5,0.0133215567,0.0297879063,5476438.388655739,False
2018 VZ5,5,2453677.775198345,2005-Nov-03 06:36,0.032726464604375,0.027360101948928,0.0432944180842783,15.6576224978483,15.6524218244799,00:38,24.8,0.0291443905,0.0651688382,48466904.05226985,False
2005 VN,19,2453679.124567175,2005-Nov-04 14:59,0.0438954088667993,0.0438952490581047,0.0438955686756685,13.09773102397,13.093095764547,< 00:01,22.91,0.0695913044,0.1556108872,72202224.10353285,False
2005 VO,8,2453680.299503312,2005-Nov-05 19:11,0.0054508815216305,0.0054275545267111,0.0054742075864155,14.3481038190335,14.3139949262311,< 00:01,27.9,0.0069912523,0.0156329154,815440.262022405,False
363790,150,2453682.504807799,2005-Nov-08 00:07,0.0359505534650289,0.0359505476140779,0.0359505593159819,12.9601321036744,12.9544121409803,< 00:01,17.85,,,,
2005 UV64,10,2453682.748521046,2005-Nov-08 05:58,0.0266003199139684,0.0265992183560449,0.0266014214717816,3.8874045063727,3.86155142568588,< 00:01,26.4,0.0139493823,0.0311917671,23304743.85652032,False
2005 VY1,14,2453682.821254732,2005-Nov-08 07:43,0.0087121509574293,0.0087045703439664,0.0087197314005396,6.93508240160737,6.8908416196415,< 00:01,26.4,0.0139493823,0.0311917671,67327354.1898825,False
2005 VT7,12,2453683.919978132,2005-Nov-09 10:05,0.032077557050113,0.0319506389352194,0.0322044731372094,8.95964522764153,8.95036956121654,< 00:01,23.0,0.0667659413,0.1492931834,4798734.216963377,False
2005 WD,29,2453683.920831676,2005-Nov-09 10:06,0.0348073764868876,0.034807253043588,0.0348074999302327,16.9839629426525,16.9794551942324,< 00:01,21.93,0.1092835959,0.2443655492,298078081.4478132,True
2005 VG7,9,2453684.467237507,2005-Nov-09 23:13,0.0099480095622988,0.0098697174396087,0.0100262962737768,11.0111998409468,10.9868485491163,< 00:01,24.5,0.0334622374,0.0748238376,1488201.046899552,False
2005 VN5,11,2453686.650948582,2005-Nov-12 03:37,0.0034564001278774,0.0034495448874003,0.0034632543725392,6.58598414230047,6.46787612461435,< 00:01,27.0,0.0105816886,0.023661375,21745661.09484672,False
2005 WA,13,2453687.584446944,2005-Nov-13 02:02,0.0080462125261591,0.0080319621305058,0.0080604624117204,8.0068304720445,7.96536503612142,< 00:01,23.9,0.04411182,0.0986370281,18285340.55916096,False
2020 UM2,4,2453691.081761234,2005-Nov-16 13:58,0.0466148016300129,0.0310647121937504,0.0665055752068353,4.52351515352568,4.5108613721888,12:52,27.1,0.0101054342,0.0225964377,61739709.38220274,False
2015 XD169,16,2453692.028099103,2005-Nov-17 12:40,0.0433567763567619,0.0343980680941075,0.0528048860876821,2.83437656858729,2.81261107447379,6_17:18,26.9,0.0110803882,0.0247765013,36278523.240035646,False
2005 WQ3,8,2453693.15029571,2005-Nov-18 15:36,0.0239242349135432,0.0235351231691877,0.0243133389997371,19.0950338310435,19.0892004518489,00:04,24.3,0.0366906138,0.0820427065,22043528.39080133,False
2005 UW6,16,2453693.729425563,2005-Nov-19 05:30,0.0457922288565076,0.0457101606874427,0.0458742969672839,24.0676572348882,24.0652395005942,< 00:01,21.8,0.1160259082,0.2594418179,8779999.52006864,True
2005 VF,8,2453693.916231941,2005-Nov-19 09:59,0.0472355793046808,0.0459289348393224,0.0485420510410052,6.7811689649495,6.77284548069459,00:08,24.7,0.0305179233,0.0682401509,7066342.051496091,False
2019 XQ,14,2453694.023912057,2005-Nov-19 12:34,0.0251858793159806,0.0180072992376766,0.0443753278106012,10.1786996193545,10.1683007806762,1_18:12,23.8,0.046190746,0.1032856481,3407697.121266908,False
2005 WF,8,2453694.529132013,2005-Nov-20 00:42,0.040888606001217,0.0407246827076435,0.0410525282891024,13.0038730824089,12.9988609673314,< 00:01,23.7,0.0483676488,0.1081533507,6116848.36486922,False
2005 WP3,9,2453695.656107158,2005-Nov-21 03:45,0.0355698961046294,0.0352960090821696,0.0358437708003723,7.19537174261535,7.1849535820946,00:01,24.9,0.0278326768,0.0622357573,5321180.692681307,False
2005 WG57,21,2453695.893903271,2005-Nov-21 09:27,0.0357097557823054,0.0356628211941816,0.0357566902215102,10.946812900391,10.9399946483174,< 00:01,23.91,0.0439091446,0.0981838322,57257403.35316081,False
2005 WC,8,2453695.928525153,2005-Nov-21 10:17,0.0138859193417722,0.0137752326843356,0.0139966022984587,13.5342852249799,13.5201002020762,00:01,25.2,0.0242412481,0.0542050786,8053409.24778492,False
