des,orbit_id,jd,cd,dist,dist_min,dist_max,v_rel,v_inf,t_sigma_f,h,estimated_diameter_min_km,estimated_diameter_max_km,miss_distance_km,is_potentially_hazardous
2009 SJ,9,2455098.396721751,2009-Sep-23 21:31,0.0219117016578203,0.0213194764700604,0.0225038182124495,8.3973339275931,8.38284054441455,00:01,25.8,0.0183888672,0.0411187571,50074566.05938387,False
2022 QU3,2,2455099.593954338,2009-Sep-25 02:15,0.0466181192539131,0.0427719348973802,0.0843137307241789,9.18383439484514,9.17760880090746,6_10:54,26.84,0.0113908197,0.0254706471,72904433.21415971,False
2009 SV19,9,2455101.869626083,2009-Sep-27 08:52,0.0388675953422057,0.0386237694011966,0.0391114129981902,7.07571350702742,7.06601841178711,00:01,26.0,0.0167708462,0.0375007522,5814509.468902011,False
2009 UV19,7,2455101.95608244,2009-Sep-27 10:57,0.0453767278652357,0.0424764913270401,0.0482903612455916,7.38267624946013,7.37471833095302,1_13:58,24.8,0.0291443905,0.0651688382,6788261.841409573,False
2021 TE3,1,2455102.362353097,2009-Sep-27 20:42,0.0321437874918301,0.0283252667641813,0.0359818887448131,5.75876252039013,5.74435033222038,04:34,28.03,0.0065849878,0.0147244804,57713271.64091035,False
2009 SN103,12,2455102.7254935,2009-Sep-28 05:25,0.0031083194278354,0.0031077559174856,0.0031088829259047,5.61827352931821,5.46356838362978,< 00:01,27.6,0.0080270317,0.0179489885,72714425.53368147,False
2009 SO98,13,2455103.355871059,2009-Sep-28 20:32,0.036792989577772,0.0365876642058593,0.0369983119556931,10.535160961644,10.5282847718265,< 00:01,24.3,0.0366906138,0.0820427065,57682257.96792832,False
152664,123,2455104.280621132,2009-Sep-29 18:44,0.0221822766351083,0.0221822745465497,0.0221822787236746,17.9950664980333,17.9883902363021,< 00:01,19.68,,,,
2009 RH,14,2455104.814262,2009-Sep-30 07:33,0.0335674676708358,0.0333019624538753,0.0338329594912707,7.01627278792883,7.00495040417147,< 00:01,23.8,0.046190746,0.1032856481,13391019.302142171,False
2009 SH2,22,2455105.072847742,2009-Sep-30 13:45,0.007306139566062,0.0073033731965146,0.0073089058545193,4.39840046357683,4.3146895293526,< 00:01,24.9,0.0278326768,0.0622357573,1323081.081425796,False
2009 TB,8,2455105.673909586,2009-Oct-01 04:10,0.0004641997736467,0.0003610652451132,0.0005774751705304,15.0973261670451,14.7122185711631,11:46,29.2,0.0038419789,0.008590926,69443.301334426,False
2009 UB,8,2455106.026812737,2009-Oct-01 12:39,0.0337883560954992,0.0302761278418102,0.037301392205805,7.58163352561433,7.57122520370583,16:22,25.5,0.0211132445,0.0472106499,5054666.103361507,False
2009 SU104,14,2455106.315222037,2009-Oct-01 19:34,0.0065061959508869,0.0064940105776896,0.0065183811982249,17.2293555394648,17.2055698323258,< 00:01,25.57,0.0204434871,0.0457130269,179079104.12459794,False
